"","Level","Date","State.FIPS","State.Postal.Code","County.FIPS","County.Name","Population.Staying.at.Home","Population.Not.Staying.at.Home","Number.of.Trips","Number.of.Trips..1","Number.of.Trips.1.3","Number.of.Trips.3.5","Number.of.Trips.5.10","Number.of.Trips.10.25","Number.of.Trips.25.50","Number.of.Trips.50.100","Number.of.Trips.100.250","Number.of.Trips.250.500","Number.of.Trips...500","Row.ID","Week","Month"
"2442012","County","2021/07/02",12,"FL",12057,"Hillsborough County",268086,1203882,5624053,1634881,1376141,661416,865855,771491,203629,59042,37048,6885,7665,"12-12057-20210702",26,7
"2445156","County","2021/07/03",12,"FL",12057,"Hillsborough County",271663,1200305,5656957,1640398,1381088,667258,872829,744401,220112,75779,39173,6987,8932,"12-12057-20210703",26,7
"2450094","County","2021/07/04",12,"FL",12057,"Hillsborough County",303382,1168586,5149486,1441846,1251674,608936,810120,728262,204425,58909,30492,6474,8348,"12-12057-20210704",27,7
"2451667","County","2021/07/05",12,"FL",12057,"Hillsborough County",286179,1185789,5962274,1778183,1471946,696693,891514,804983,215433,59970,28738,5983,8831,"12-12057-20210705",27,7
"2456439","County","2021/07/06",12,"FL",12057,"Hillsborough County",297552,1174416,5404717,1616180,1327220,640478,814908,739279,187848,45740,22078,4427,6559,"12-12057-20210706",27,7
"2457961","County","2021/07/07",12,"FL",12057,"Hillsborough County",295026,1176942,5360287,1562280,1333911,636223,828201,723416,190190,49204,24343,4930,7589,"12-12057-20210707",27,7
"2462684","County","2021/07/08",12,"FL",12057,"Hillsborough County",288389,1183579,5693452,1698117,1355927,657070,873094,803148,209575,57224,25797,5198,8302,"12-12057-20210708",27,7
"2464258","County","2021/07/09",12,"FL",12057,"Hillsborough County",279586,1192382,5706986,1622756,1393686,683376,888355,796497,207146,64472,35354,6822,8522,"12-12057-20210709",27,7
"2468978","County","2021/07/10",12,"FL",12057,"Hillsborough County",291230,1180738,5313735,1543214,1316185,630517,807786,696276,198319,71656,35505,6258,8019,"12-12057-20210710",27,7
"2470877","County","2021/07/11",12,"FL",12057,"Hillsborough County",314906,1157062,4497988,1253915,1087687,540386,725115,601823,174324,67670,33128,6490,7450,"12-12057-20210711",28,7
"2474177","County","2021/07/12",12,"FL",12057,"Hillsborough County",294524,1177444,5456369,1575944,1301897,648754,864540,779330,201242,52540,21158,4622,6342,"12-12057-20210712",28,7
"2477308","County","2021/07/13",12,"FL",12057,"Hillsborough County",292659,1179309,5533034,1514656,1340171,678027,897068,803231,211366,54721,22453,4794,6547,"12-12057-20210713",28,7
"2480457","County","2021/07/14",12,"FL",12057,"Hillsborough County",297863,1174105,5240015,1420197,1251177,643387,848078,784383,206762,53673,21284,4647,6427,"12-12057-20210714",28,7
"2483578","County","2021/07/15",12,"FL",12057,"Hillsborough County",292376,1179592,5430449,1538336,1290390,649819,871810,787326,209583,51298,20546,4427,6914,"12-12057-20210715",28,7
"2486795","County","2021/07/16",12,"FL",12057,"Hillsborough County",287216,1184752,5514055,1493436,1321133,677414,900708,809806,205793,59317,33419,5943,7086,"12-12057-20210716",28,7
"2489973","County","2021/07/17",12,"FL",12057,"Hillsborough County",298611,1173357,4950809,1335192,1192743,616288,796874,697811,201093,68433,30954,4818,6603,"12-12057-20210717",28,7
"2493390","County","2021/07/18",12,"FL",12057,"Hillsborough County",313994,1157974,4462686,1255323,1078976,534540,702110,608492,171675,63295,34423,6115,7737,"12-12057-20210718",29,7
"2496787","County","2021/07/19",12,"FL",12057,"Hillsborough County",297971,1173997,5261689,1506497,1271053,629382,831271,740066,198554,50600,22871,4606,6789,"12-12057-20210719",29,7
"2499731","County","2021/07/20",12,"FL",12057,"Hillsborough County",289555,1182413,5719041,1634118,1380758,688381,899257,807619,215301,57029,24843,4776,6959,"12-12057-20210720",29,7
"2502873","County","2021/07/21",12,"FL",12057,"Hillsborough County",291494,1180474,5435355,1501525,1304685,655167,869758,803550,212922,54300,22284,4486,6678,"12-12057-20210721",29,7
"2505946","County","2021/07/22",12,"FL",12057,"Hillsborough County",307753,1164215,4507073,1230806,1084282,549366,729237,659596,175672,47286,20649,4330,5849,"12-12057-20210722",29,7
"2509114","County","2021/07/23",12,"FL",12057,"Hillsborough County",285991,1185977,5195253,1426429,1264520,637537,830344,723553,205141,62769,32346,5799,6815,"12-12057-20210723",29,7
"2512286","County","2021/07/24",12,"FL",12057,"Hillsborough County",300025,1171943,4854698,1329141,1193601,588480,770352,664475,197834,68528,30928,5022,6337,"12-12057-20210724",29,7
"2516000","County","2021/07/25",12,"FL",12057,"Hillsborough County",316244,1155724,4251694,1212038,1038042,511358,658365,560000,163627,60473,34531,5777,7483,"12-12057-20210725",30,7
"2519006","County","2021/07/26",12,"FL",12057,"Hillsborough County",298247,1173721,5146644,1486965,1280718,617360,795655,692450,185840,53589,23256,4365,6446,"12-12057-20210726",30,7
"2522027","County","2021/07/27",12,"FL",12057,"Hillsborough County",297950,1174018,5235765,1459410,1292906,632155,832072,733410,198392,53795,23003,4253,6369,"12-12057-20210727",30,7
"2525381","County","2021/07/28",12,"FL",12057,"Hillsborough County",304365,1167603,4890759,1349247,1197852,583077,782751,703669,191353,50802,21627,4140,6241,"12-12057-20210728",30,7
"2528275","County","2021/07/29",12,"FL",12057,"Hillsborough County",296862,1175106,5317990,1518669,1329099,634767,830933,718933,199798,53455,21702,4142,6492,"12-12057-20210729",30,7
"2531426","County","2021/07/30",12,"FL",12057,"Hillsborough County",290102,1181866,5284090,1480679,1315455,630938,824093,732503,193879,61564,32640,5423,6916,"12-12057-20210730",30,7
"2534607","County","2021/07/31",12,"FL",12057,"Hillsborough County",304610,1167358,4832737,1348163,1207459,576666,761273,647255,186609,63841,30437,4646,6388,"12-12057-20210731",30,7
"2537900","County","2021/08/01",12,"FL",12057,"Hillsborough County",321758,1150210,4347804,1245261,1077180,512701,669296,567085,165318,63817,33796,5728,7622,"12-12057-20210801",31,8
"2541242","County","2021/08/02",12,"FL",12057,"Hillsborough County",289300,1182668,5284902,1579645,1317039,615049,802944,701939,184720,51925,21314,4059,6268,"12-12057-20210802",31,8
"2544390","County","2021/08/03",12,"FL",12057,"Hillsborough County",294463,1177505,5245138,1512161,1310868,616601,820275,723738,180983,49318,20798,4069,6327,"12-12057-20210803",31,8
"2547527","County","2021/08/04",12,"FL",12057,"Hillsborough County",284570,1187398,5663899,1674768,1416121,661576,859935,765130,198437,53173,23440,4472,6847,"12-12057-20210804",31,8
"2550629","County","2021/08/05",12,"FL",12057,"Hillsborough County",308976,1162992,4759807,1286090,1152557,572472,772289,704364,190481,49823,21685,3983,6063,"12-12057-20210805",31,8
"2553789","County","2021/08/06",12,"FL",12057,"Hillsborough County",281229,1190739,5232747,1464942,1302490,621090,818701,735479,185905,57172,35048,5261,6659,"12-12057-20210806",31,8
"2557054","County","2021/08/07",12,"FL",12057,"Hillsborough County",308826,1163142,4722430,1313094,1180315,566720,741237,632887,179610,65863,32491,4208,6005,"12-12057-20210807",31,8
"2563508","County","2021/01/07",12,"FL",12057,"Hillsborough County",315447,1156521,4181287,1103758,1085749,527965,641269,602517,147459,32714,29207,6676,3973,"12-12057-20210107",1,1
"2568995","County","2021/01/08",12,"FL",12057,"Hillsborough County",307464,1164504,4445271,1167945,1161916,572648,683498,624981,151287,38275,33963,6697,4061,"12-12057-20210108",1,1
"2572199","County","2021/01/09",12,"FL",12057,"Hillsborough County",331243,1140725,4298036,1142631,1137746,551342,656699,573416,149879,40103,35338,7019,3863,"12-12057-20210109",1,1
"2572885","County","2021/01/10",12,"FL",12057,"Hillsborough County",360335,1111633,3785750,1022672,1037745,492763,578029,461547,120392,37433,25003,5518,4648,"12-12057-20210110",2,1
"2578637","County","2021/01/11",12,"FL",12057,"Hillsborough County",332727,1139241,4104422,1089786,1083257,527649,634060,573276,140156,31701,16345,4184,4008,"12-12057-20210111",2,1
"2579566","County","2021/01/12",12,"FL",12057,"Hillsborough County",327388,1144580,4035761,1070395,1047343,507921,617745,585819,145778,33993,19126,3839,3802,"12-12057-20210112",2,1
"2583380","County","2021/01/13",12,"FL",12057,"Hillsborough County",322648,1149320,4119659,1082370,1078779,525152,639880,588953,144722,32306,19580,3767,4150,"12-12057-20210113",2,1
"2586373","County","2021/01/14",12,"FL",12057,"Hillsborough County",315110,1156858,4242131,1123192,1091458,540455,656016,616314,151092,34713,20784,4582,3525,"12-12057-20210114",2,1
"2589427","County","2021/01/15",12,"FL",12057,"Hillsborough County",312583,1159385,4555357,1179146,1160312,573357,706324,681501,169651,46523,28622,5776,4145,"12-12057-20210115",2,1
"2591512","County","2021/01/16",12,"FL",12057,"Hillsborough County",336377,1135591,4763368,1307375,1215527,597154,719619,652862,182090,50926,29670,4770,3375,"12-12057-20210116",2,1
"2597484","County","2021/01/17",12,"FL",12057,"Hillsborough County",327902,1144066,4179812,1148021,1091305,518200,633849,555389,145398,45747,29730,6511,5662,"12-12057-20210117",3,1
"2597932","County","2021/01/18",12,"FL",12057,"Hillsborough County",292243,1179725,4616831,1255583,1148892,569667,700852,675113,173735,49193,30628,6863,6305,"12-12057-20210118",3,1
"2602619","County","2021/01/19",12,"FL",12057,"Hillsborough County",331356,1140612,3966883,1081637,1016417,498043,599071,586089,133198,27338,16723,4554,3813,"12-12057-20210119",3,1
"2603987","County","2021/01/20",12,"FL",12057,"Hillsborough County",320624,1151344,4091474,1110801,1047803,517960,625152,602627,134165,28289,16304,4178,4195,"12-12057-20210120",3,1
"2610147","County","2021/01/21",12,"FL",12057,"Hillsborough County",299024,1172944,4388528,1205184,1108474,550969,673443,646662,144254,30137,19874,5288,4243,"12-12057-20210121",3,1
"2610357","County","2021/01/22",12,"FL",12057,"Hillsborough County",286748,1185220,4598816,1258594,1168684,580105,702706,661100,151177,41165,23942,5973,5370,"12-12057-20210122",3,1
"2616246","County","2021/01/23",12,"FL",12057,"Hillsborough County",303674,1168294,4369830,1184490,1072361,552602,678490,625150,169773,54332,23936,4590,4106,"12-12057-20210123",3,1
"2619381","County","2021/01/24",12,"FL",12057,"Hillsborough County",337699,1134269,4008455,1114038,1034656,496991,588805,535719,150234,49456,26619,6021,5916,"12-12057-20210124",4,1
"2620368","County","2021/01/25",12,"FL",12057,"Hillsborough County",309032,1162936,4180100,1154414,1067263,524504,643005,601675,133027,28907,17296,4681,5328,"12-12057-20210125",4,1
"2622974","County","2021/01/26",12,"FL",12057,"Hillsborough County",300870,1171098,4337762,1185258,1102634,545116,665771,637940,143227,30642,18226,4515,4433,"12-12057-20210126",4,1
"2626321","County","2021/01/27",12,"FL",12057,"Hillsborough County",301179,1170789,4245302,1158293,1085569,537616,654180,616798,139644,29259,16354,4091,3498,"12-12057-20210127",4,1
"2629281","County","2021/01/28",12,"FL",12057,"Hillsborough County",302646,1169322,4188185,1137726,1058497,530052,641358,620220,140425,31540,19249,4966,4152,"12-12057-20210128",4,1
"2633960","County","2021/01/29",12,"FL",12057,"Hillsborough County",294752,1177216,4426196,1185695,1127642,562158,678635,651270,147055,38695,25381,5564,4101,"12-12057-20210129",4,1
"2637558","County","2021/01/30",12,"FL",12057,"Hillsborough County",304097,1167871,4458400,1212567,1109645,561758,682258,641164,171843,47666,23700,5071,2728,"12-12057-20210130",4,1
"2640626","County","2021/01/31",12,"FL",12057,"Hillsborough County",324630,1147338,4260862,1198972,1059664,521672,638334,587674,159437,53917,30212,6177,4803,"12-12057-20210131",5,1
"2643397","County","2021/02/01",12,"FL",12057,"Hillsborough County",312247,1159721,4336664,1178975,1093987,547198,667982,636996,145275,34133,22341,5306,4471,"12-12057-20210201",5,2
"2646124","County","2021/02/02",12,"FL",12057,"Hillsborough County",306580,1165388,4368785,1168424,1108066,555957,676033,658693,144112,31975,17554,4387,3584,"12-12057-20210202",5,2
"2649248","County","2021/02/03",12,"FL",12057,"Hillsborough County",294812,1177156,4312861,1169618,1104446,542737,657776,645918,137700,29657,16811,4789,3409,"12-12057-20210203",5,2
"2651748","County","2021/02/04",12,"FL",12057,"Hillsborough County",289135,1182833,4421492,1216108,1123800,543246,674159,660229,145285,31784,18193,4932,3756,"12-12057-20210204",5,2
"2654834","County","2021/02/05",12,"FL",12057,"Hillsborough County",273273,1198695,4914282,1377039,1234171,617785,746261,711356,156853,39474,22475,4806,4062,"12-12057-20210205",5,2
"2660186","County","2021/02/06",12,"FL",12057,"Hillsborough County",291464,1180504,4688410,1328283,1188317,587136,705327,648091,156363,45908,21278,4667,3040,"12-12057-20210206",5,2
"2660848","County","2021/02/07",12,"FL",12057,"Hillsborough County",324119,1147849,4722665,1475718,1198785,567835,684625,595393,129510,39650,20442,5343,5364,"12-12057-20210207",6,2
"2666172","County","2021/02/08",12,"FL",12057,"Hillsborough County",309572,1162396,4651137,1310073,1121891,576551,710222,693940,163113,40350,24296,5476,5225,"12-12057-20210208",6,2
"2669214","County","2021/02/09",12,"FL",12057,"Hillsborough County",309161,1162807,4783151,1320113,1201361,601189,730009,711779,158886,32963,17900,4581,4370,"12-12057-20210209",6,2
"2671739","County","2021/02/10",12,"FL",12057,"Hillsborough County",295380,1176588,4791377,1320086,1207179,604566,730696,704624,160939,35636,18920,4776,3955,"12-12057-20210210",6,2
"2674247","County","2021/02/11",12,"FL",12057,"Hillsborough County",283858,1188110,5036149,1386407,1245033,628414,767456,755703,176659,40479,24129,6133,5736,"12-12057-20210211",6,2
"2677559","County","2021/02/12",12,"FL",12057,"Hillsborough County",276690,1195278,4736962,1288367,1141268,564095,719318,734219,183926,53314,36907,8601,6947,"12-12057-20210212",6,2
"2681916","County","2021/02/13",12,"FL",12057,"Hillsborough County",310816,1161152,4523602,1245937,1103783,549082,697071,670284,177027,52547,20672,3800,3399,"12-12057-20210213",6,2
"2683613","County","2021/02/14",12,"FL",12057,"Hillsborough County",315834,1156134,4533909,1297816,1117584,545610,687933,625505,155611,57554,33043,7062,6191,"12-12057-20210214",7,2
"2685864","County","2021/02/15",12,"FL",12057,"Hillsborough County",288309,1183659,4955526,1363462,1161040,591904,759945,782899,202325,52797,28088,6094,6972,"12-12057-20210215",7,2
"2688931","County","2021/02/16",12,"FL",12057,"Hillsborough County",275299,1196669,5050470,1370566,1237654,623042,777457,782433,189101,41258,20154,4138,4667,"12-12057-20210216",7,2
"2692083","County","2021/02/17",12,"FL",12057,"Hillsborough County",280259,1191709,4820237,1317856,1188443,607121,742709,730640,168465,36705,19628,4511,4159,"12-12057-20210217",7,2
"2696369","County","2021/02/18",12,"FL",12057,"Hillsborough County",259478,1212490,5073587,1401967,1231488,628030,776658,775006,183874,42439,23845,5315,4965,"12-12057-20210218",7,2
"2699168","County","2021/02/19",12,"FL",12057,"Hillsborough County",268481,1203487,4954347,1374738,1239736,613031,755515,721969,163805,43056,31026,6303,5168,"12-12057-20210219",7,2
"2701952","County","2021/02/20",12,"FL",12057,"Hillsborough County",297520,1174448,4736622,1335876,1170325,585572,715069,657619,183349,54203,26893,3967,3749,"12-12057-20210220",7,2
"2704724","County","2021/02/21",12,"FL",12057,"Hillsborough County",303122,1168846,4668345,1319922,1151263,560287,692560,638031,197175,61970,34072,6673,6392,"12-12057-20210221",8,2
"2709526","County","2021/02/22",12,"FL",12057,"Hillsborough County",279769,1192199,4978044,1402420,1231189,617416,751230,736258,168910,37890,21876,5351,5504,"12-12057-20210222",8,2
"2712227","County","2021/02/23",12,"FL",12057,"Hillsborough County",276658,1195310,5071039,1427995,1232818,626411,776067,762945,176459,38650,20820,4794,4080,"12-12057-20210223",8,2
"2714291","County","2021/02/24",12,"FL",12057,"Hillsborough County",274174,1197794,4960687,1377540,1217357,616551,759236,752043,172051,37299,19774,4953,3883,"12-12057-20210224",8,2
"2717511","County","2021/02/25",12,"FL",12057,"Hillsborough County",272739,1199229,5061477,1427194,1248141,625502,768748,748399,174371,38100,21338,5101,4583,"12-12057-20210225",8,2
"2721138","County","2021/02/26",12,"FL",12057,"Hillsborough County",258335,1213633,5275382,1474879,1318395,654209,795964,753590,185543,49912,31541,6520,4829,"12-12057-20210226",8,2
"2723955","County","2021/02/27",12,"FL",12057,"Hillsborough County",275329,1196639,5010777,1380621,1242066,618489,752013,706601,219576,58656,24262,5167,3326,"12-12057-20210227",8,2
"2727178","County","2021/02/28",12,"FL",12057,"Hillsborough County",300094,1171874,4889955,1414508,1228863,580242,705224,646842,206077,63049,33000,6703,5447,"12-12057-20210228",9,2
"2732852","County","2021/03/01",12,"FL",12057,"Hillsborough County",278255,1193713,5267030,1507834,1276450,653436,791004,774404,181484,45052,27255,5298,4813,"12-12057-20210301",9,3
"2733571","County","2021/03/02",12,"FL",12057,"Hillsborough County",273339,1198629,5140817,1433619,1278489,640018,781408,761581,176990,39740,20660,4593,3719,"12-12057-20210302",9,3
"2737918","County","2021/03/03",12,"FL",12057,"Hillsborough County",281019,1190949,4935187,1330326,1235931,629657,760814,741956,168464,38440,20817,4604,4178,"12-12057-20210303",9,3
"2739948","County","2021/03/04",12,"FL",12057,"Hillsborough County",269947,1202021,5094205,1415587,1265592,632560,771707,763221,173887,39584,22520,4947,4600,"12-12057-20210304",9,3
"2744561","County","2021/03/05",12,"FL",12057,"Hillsborough County",257347,1214621,5138044,1441260,1280653,640665,762373,749335,176508,46532,30243,5997,4478,"12-12057-20210305",9,3
"2747894","County","2021/03/06",12,"FL",12057,"Hillsborough County",293357,1178611,4565736,1250722,1167546,582678,697786,633682,158095,44624,22913,4128,3562,"12-12057-20210306",9,3
"2750089","County","2021/03/07",12,"FL",12057,"Hillsborough County",306781,1165187,4650307,1329440,1141797,557799,677501,638898,192180,63362,36357,7651,5322,"12-12057-20210307",10,3
"2755318","County","2021/03/08",12,"FL",12057,"Hillsborough County",296424,1175544,4851965,1346319,1151763,577404,745475,760788,185681,48541,24883,5877,5234,"12-12057-20210308",10,3
"2758588","County","2021/03/09",12,"FL",12057,"Hillsborough County",281911,1190057,5095890,1414336,1256914,628165,776298,782067,173299,35654,20764,4309,4084,"12-12057-20210309",10,3
"2761560","County","2021/03/10",12,"FL",12057,"Hillsborough County",272253,1199715,5172888,1443156,1289426,647855,795121,758351,172927,37145,20110,4825,3972,"12-12057-20210310",10,3
"2763474","County","2021/03/11",12,"FL",12057,"Hillsborough County",274678,1197290,5007492,1376844,1248336,629920,766697,743415,168441,41820,22656,4714,4649,"12-12057-20210311",10,3
"2766409","County","2021/03/12",12,"FL",12057,"Hillsborough County",257347,1214621,5338523,1471015,1321697,667061,807311,773106,188598,56294,39349,7919,6173,"12-12057-20210312",10,3
"2768592","County","2021/03/13",12,"FL",12057,"Hillsborough County",272547,1199421,4890580,1367711,1188125,591567,733440,695617,205169,60511,35565,7570,5305,"12-12057-20210313",10,3
"2771710","County","2021/03/14",12,"FL",12057,"Hillsborough County",280481,1191487,4933155,1390689,1206820,587278,711423,672725,213209,81502,52572,10471,6466,"12-12057-20210314",11,3
"2777054","County","2021/03/15",12,"FL",12057,"Hillsborough County",284935,1187033,4971612,1416092,1175324,579188,740315,742753,201689,65473,36382,7504,6892,"12-12057-20210315",11,3
"2778563","County","2021/03/16",12,"FL",12057,"Hillsborough County",270525,1201443,5441220,1548869,1277533,633174,816941,831428,219518,65277,35069,6702,6709,"12-12057-20210316",11,3
"2782650","County","2021/03/17",12,"FL",12057,"Hillsborough County",266410,1205558,5118664,1437851,1224973,603747,767158,767376,205446,63970,34298,7864,5981,"12-12057-20210317",11,3
"2784423","County","2021/03/18",12,"FL",12057,"Hillsborough County",266734,1205234,5098316,1459837,1201867,591515,769732,760810,199907,63174,36939,8004,6531,"12-12057-20210318",11,3
"2789714","County","2021/03/19",12,"FL",12057,"Hillsborough County",255216,1216752,5161098,1446126,1245776,625239,776103,750215,193405,66393,43255,8643,5943,"12-12057-20210319",11,3
"2793090","County","2021/03/20",12,"FL",12057,"Hillsborough County",272157,1199811,4827451,1357793,1186648,590853,730083,669339,188483,58623,32880,7230,5519,"12-12057-20210320",11,3
"2794745","County","2021/03/21",12,"FL",12057,"Hillsborough County",281045,1190923,4369113,1213155,1127133,539624,642046,568591,149933,64665,45778,10223,7965,"12-12057-20210321",12,3
"2799545","County","2021/03/22",12,"FL",12057,"Hillsborough County",269802,1202166,5350419,1523430,1317272,666519,811866,777295,175328,41738,25572,5159,6240,"12-12057-20210322",12,3
"2800377","County","2021/03/23",12,"FL",12057,"Hillsborough County",252993,1218975,5921290,1680222,1459883,737631,903993,874396,191440,40835,24269,4604,4017,"12-12057-20210323",12,3
"2803063","County","2021/03/24",12,"FL",12057,"Hillsborough County",256220,1215748,5578566,1610996,1391569,678612,839964,807403,182707,39068,20441,4139,3667,"12-12057-20210324",12,3
"2807257","County","2021/03/25",12,"FL",12057,"Hillsborough County",252842,1219126,5862264,1682287,1455131,735402,882930,843530,186568,42555,24317,5549,3995,"12-12057-20210325",12,3
"2810381","County","2021/03/26",12,"FL",12057,"Hillsborough County",237912,1234056,5626892,1704512,1270141,704955,813631,873963,175618,47335,27581,3624,5532,"12-12057-20210326",12,3
"2813167","County","2021/03/27",12,"FL",12057,"Hillsborough County",258845,1213123,5411994,1519238,1330247,662003,826649,759828,222987,62686,22795,3290,2271,"12-12057-20210327",12,3
"2817247","County","2021/03/28",12,"FL",12057,"Hillsborough County",277330,1194638,4826384,1343904,1205417,589387,720559,650319,205959,64665,34556,6429,5189,"12-12057-20210328",13,3
"2817825","County","2021/03/29",12,"FL",12057,"Hillsborough County",280245,1191723,5039866,1415484,1252660,628102,772462,738444,162638,38707,21242,5064,5063,"12-12057-20210329",13,3
"2821262","County","2021/03/30",12,"FL",12057,"Hillsborough County",264673,1207295,5519061,1548123,1374789,696246,842545,811342,179311,37640,20768,4601,3696,"12-12057-20210330",13,3
"2826463","County","2021/03/31",12,"FL",12057,"Hillsborough County",257500,1214468,5444650,1554526,1345571,683350,831761,791305,173196,36232,20313,4479,3917,"12-12057-20210331",13,3
"2828015","County","2021/04/01",12,"FL",12057,"Hillsborough County",272259,1199709,5450130,1548565,1369866,674969,822371,781614,173489,39797,26203,7032,6224,"12-12057-20210401",13,4
"2830800","County","2021/04/02",12,"FL",12057,"Hillsborough County",253670,1218298,5484833,1549301,1365225,675884,837779,786155,180606,49300,30310,6123,4150,"12-12057-20210402",13,4
"2835400","County","2021/04/03",12,"FL",12057,"Hillsborough County",264450,1207518,5171644,1461222,1288231,658379,790038,707185,188230,49033,23117,3626,2583,"12-12057-20210403",13,4
"2838583","County","2021/04/04",12,"FL",12057,"Hillsborough County",301778,1170190,3992023,1093130,968179,469233,594489,579551,179271,58816,36644,7539,5171,"12-12057-20210404",14,4
"2842515","County","2021/04/05",12,"FL",12057,"Hillsborough County",267153,1204815,5524650,1567946,1378384,693130,835911,797864,177837,41257,23175,4591,4555,"12-12057-20210405",14,4
"2843001","County","2021/04/06",12,"FL",12057,"Hillsborough County",257438,1214530,5303879,1529674,1330922,662130,804241,753641,163524,33816,17881,3977,4073,"12-12057-20210406",14,4
"2847910","County","2021/04/07",12,"FL",12057,"Hillsborough County",258341,1213627,5722112,1653000,1389189,702015,872887,839589,194806,41022,20928,4398,4278,"12-12057-20210407",14,4
"2851257","County","2021/04/08",12,"FL",12057,"Hillsborough County",248362,1223606,5720810,1611593,1422610,710869,878769,833841,186816,43835,23278,5141,4058,"12-12057-20210408",14,4
"2852292","County","2021/04/09",12,"FL",12057,"Hillsborough County",237326,1234642,5827373,1631372,1448761,723384,892265,841800,197773,53313,27985,5816,4904,"12-12057-20210409",14,4
"2855642","County","2021/04/10",12,"FL",12057,"Hillsborough County",254554,1217414,5289925,1440483,1326358,657743,811425,729540,219183,69341,27331,5119,3402,"12-12057-20210410",14,4
"2858762","County","2021/04/11",12,"FL",12057,"Hillsborough County",321476,1150492,4381510,1259409,1136727,541369,645496,558772,140501,54491,33145,6597,5003,"12-12057-20210411",15,4
"2861961","County","2021/04/12",12,"FL",12057,"Hillsborough County",270635,1201333,5727266,1641458,1433715,708525,866895,821076,181235,41744,22414,5562,4642,"12-12057-20210412",15,4
"2865089","County","2021/04/13",12,"FL",12057,"Hillsborough County",262145,1209823,5928875,1705785,1465157,736668,894446,859538,196011,42909,20554,4343,3464,"12-12057-20210413",15,4
"2870726","County","2021/04/14",12,"FL",12057,"Hillsborough County",268646,1203322,5809411,1666608,1423039,729217,886191,850827,186494,38058,20753,4081,4143,"12-12057-20210414",15,4
"2871377","County","2021/04/15",12,"FL",12057,"Hillsborough County",261172,1210796,5824434,1684932,1448707,719411,881580,821040,190221,43576,24409,5783,4775,"12-12057-20210415",15,4
"2876987","County","2021/04/16",12,"FL",12057,"Hillsborough County",249009,1222959,6214108,1763410,1540420,779306,955564,882164,198237,52453,30895,6005,5654,"12-12057-20210416",15,4
"2877668","County","2021/04/17",12,"FL",12057,"Hillsborough County",260630,1211338,5253492,1489559,1281533,642206,797440,730412,210773,62845,29332,5351,4041,"12-12057-20210417",15,4
"2880728","County","2021/04/18",12,"FL",12057,"Hillsborough County",297285,1174683,4753923,1375661,1177785,569185,706628,632053,181655,64826,32780,7341,6009,"12-12057-20210418",16,4
"2886745","County","2021/04/19",12,"FL",12057,"Hillsborough County",281379,1190589,5338130,1516634,1333502,669646,823683,767054,158493,36508,22176,5117,5317,"12-12057-20210419",16,4
"2886973","County","2021/04/20",12,"FL",12057,"Hillsborough County",267352,1204616,5578506,1590137,1393232,697499,851357,814063,171462,33547,18886,4441,3882,"12-12057-20210420",16,4
"2890051","County","2021/04/21",12,"FL",12057,"Hillsborough County",261607,1210361,5953470,1760795,1443988,732483,902169,858468,184758,40533,21830,5024,3422,"12-12057-20210421",16,4
"2895342","County","2021/04/22",12,"FL",12057,"Hillsborough County",268863,1203105,5530427,1621511,1334858,694815,858277,763157,179330,45319,23583,5242,4335,"12-12057-20210422",16,4
"2897537","County","2021/04/23",12,"FL",12057,"Hillsborough County",258278,1213690,5562497,1609495,1359656,686489,874707,760731,184589,46686,29390,5892,4862,"12-12057-20210423",16,4
"2899645","County","2021/04/24",12,"FL",12057,"Hillsborough County",270276,1201692,5068654,1506445,1214638,631063,777641,669653,183239,50343,26360,5811,3461,"12-12057-20210424",16,4
"2904252","County","2021/04/25",12,"FL",12057,"Hillsborough County",290050,1181918,4334057,1263073,1064147,508505,673451,567469,160823,52059,33400,6239,4891,"12-12057-20210425",17,4
"2907867","County","2021/04/26",12,"FL",12057,"Hillsborough County",274698,1197270,5535815,1735920,1345906,656799,825640,731480,170208,38436,22203,4851,4372,"12-12057-20210426",17,4
"2908916","County","2021/04/27",12,"FL",12057,"Hillsborough County",275303,1196665,5286396,1527666,1293652,632782,836657,751453,181129,36872,18490,3578,4117,"12-12057-20210427",17,4
"2914936","County","2021/04/28",12,"FL",12057,"Hillsborough County",275921,1196047,5468059,1606532,1343469,673097,860062,741929,182172,35676,17635,3543,3944,"12-12057-20210428",17,4
"2916751","County","2021/04/29",12,"FL",12057,"Hillsborough County",272131,1199837,5722817,1745983,1380010,695394,879902,769711,188773,38514,16914,3685,3931,"12-12057-20210429",17,4
"2918806","County","2021/04/30",12,"FL",12057,"Hillsborough County",266476,1205492,5553649,1615442,1349418,714050,872961,736236,183396,46898,26432,4428,4388,"12-12057-20210430",17,4
"2921474","County","2021/05/01",12,"FL",12057,"Hillsborough County",277413,1194555,4991720,1435963,1228434,618638,764173,653506,206938,53537,22275,4594,3662,"12-12057-20210501",17,5
"2924991","County","2021/05/02",12,"FL",12057,"Hillsborough County",295855,1176113,4422568,1265375,1113993,542359,685640,551525,172848,52709,28118,4727,5274,"12-12057-20210502",18,5
"2930475","County","2021/05/03",12,"FL",12057,"Hillsborough County",279169,1192799,5227338,1569600,1319889,632412,788293,687266,166634,38383,17088,3721,4052,"12-12057-20210503",18,5
